chromosome	start	stop	symbol	p_fcx	diff_fcx	diff_sd_fcx	p_hp	diff_hp	diff_sd_hp	fdr_fcx	fdr_hp
1	1702627	1703507	Lrp11	0.0904390978376044	0.00303231134902163	0.0109298217760436	0.18294876863624	-0.0019994655721382	0.00932712044444327	0.569369034148967	0.742259133044315
1	1767149	1768155	Pcmt1	0.559014388596825	0.000747095801466101	0.0104167801856333	0.188589644258728	-0.00162709674464739	0.00857640780485948	0.916097028268885	0.749502139879384
1	1783782	1784715	Nup43	0.73188008875512	0.000320256704342201	0.00642044277177687	0.170953055317282	0.00125206698722159	0.00705655339202473	0.959596666963096	0.72924562049206
1	1826071	1826450	Katna1	0.49124076254197	0.000788823893352639	0.00858947328987876	0.432314613582315	-0.000791406910631054	0.00650527838676502	0.898629350104423	0.874141856714055
1	1885476	1886093	Ginm1	0.298842786841863	0.00162885756928897	0.0102638192339519	0.0592054206809196	-0.00226965639016622	0.00727209471573268	0.799255603865086	0.519630545789338
1	1897204	1897483	Ppil4	0.290154829355003	-0.00143733755140131	0.00541814588095649	0.517542558479717	0.00103485647015306	0.00741496865998292	0.795197346857485	0.899772566746249
1	1970255	1970630	Zc3h12d	0.371165712350417	0.00344602832484813	0.0162671857162835	0.0280899683596173	0.00642261935008058	0.0125893164565927	0.8444155028782	0.3950356282454
1	2626601	2627908	Ust	0.636732318588245	-0.000578790056179249	0.0108121352492658	0.842914376692178	0.000226828245845055	0.00818938102751553	0.939300957189573	0.982321579862818
1	3762575	3763404	Samd5	0.135169335367969	-0.00179608455781626	0.00910269927272284	0.434488890999564	0.000880420621988471	0.00712296607958261	0.641408428653627	0.874141856714055
1	4010881	4011804	Stxbp5	0.565002876498418	0.000500919164528576	0.00782758980750047	0.195178484712758	-0.000970770335792625	0.00655417757930431	0.916936311859567	0.759756390387884
1	4652856	4653270	Rab32	0.202676424227386	0.00295216090657949	0.00945168251884462	0.376580488275871	0.00192549965641244	0.00593291096598655	0.719704204374796	0.860729166619305
1	5240038	5240505	Shprh	0.424042160877654	-0.000952072496306433	0.00472520936455464	0.461555317604117	0.000820144406226804	0.00675454524621609	0.874574022386025	0.886021641804193
1	5365464	5366750	Fbxo30	0.0468491221242584	0.00189299604997497	0.0110611137061128	0.793120984080843	-0.000225477906214001	0.0081685254456698	0.457572318242281	0.973920758415802
