chromosome	start	stop	symbol	id	p_fcx	diff_fcx	diff_sd_fcx	p_hp	diff_hp	diff_sd_hp	fdr_fcx	fdr_hp
1	1101965	1116926	Raet1e	ENSRNOG00000040300	0.382796415506614	0.00399976817817885	0.0172040340305182	0.746223034513017	0.00114770741181562	0.0101366971593394	0.729192116923295	0.907124967185749
1	1702696	1731210	Lrp11	ENSRNOG00000014303	0.116289936316525	0.00244534464398337	0.0102243320380137	0.138242977140892	-0.0019587350074783	0.00868147578075727	0.438908490472747	0.409759998198868
1	1736276	1767618	Pcmt1	ENSRNOG00000014330	0.465410727916593	-0.00106900894495095	0.0118877549299643	2.60176597275913e-05	-0.00734983271448116	0.0213695100722013	0.786431618617576	0.000837266322075285
1	1771710	1782091	Nup43	ENSRNOG00000049505	0.495100562554322	0.000772503797226577	0.00574328828327889	0.385139097342633	0.00102692911943132	0.0063817943671482	0.806212727175443	0.689004215874365
1	1784078	1817310	Lats1	ENSRNOG00000014916	0.522968620389172	0.000581172743671882	0.00637621375459384	0.112140624754119	0.0014126050018573	0.0069472949465514	0.820200752460822	0.368850940041701
1	1825872	1867787	Katna1	ENSRNOG00000014996	0.602483508450936	-0.000789216752011165	0.0130706502594145	0.500531176394915	-0.00113278005546309	0.0111012541269861	0.859715392653808	0.776794948112424
1	1870388	1885981	Ginm1	ENSRNOG00000015239	0.272301168235485	0.00172937447947177	0.0104613163165726	0.091917342720135	-0.00216336563489126	0.00721365915850742	0.632234277243685	0.328233793615609
1	1897338	1929763	Ppil4	ENSRNOG00000015552	0.290154829355003	-0.00143733755140131	0.00541814588095649	0.517542558479717	0.00103485647015306	0.00741496865998292	0.648273403753977	0.786469717603056
1	1938419	1972918	Zc3h12d	ENSRNOG00000016041	0.95496387915967	0.000154687103581529	0.024485394889504	0.307356286989434	-0.00246577287255113	0.0262665262335119	0.98668722824087	0.62268817968292
1	1999596	2073896	Tab2	ENSRNOG00000016054	0.910314356335079	0.000142041315712357	0.00650730615763631	0.952330624339717	-7.47891122373441e-05	0.0109188802771026	0.975679880190632	0.985376080146491
1	2333778	2627747	Ust	ENSRNOG00000016381	0.348250887515935	-0.00187069338455824	0.0219570902229555	1.62368574652062e-05	-0.00938906978924306	0.0262118372179589	0.701381102307538	0.000581529983209768
1	2782864	2846200	Sash1	ENSRNOG00000013160	0.0838202964835162	0.00552357595376281	0.0295232345655383	0.0128148995390482	-0.0089020480823351	0.0334265905840296	0.375775060200756	0.092816996605663
1	3713750	3763392	Samd5	ENSRNOG00000023549	0.869633460252794	0.000327710695388825	0.015905278758239	0.348565105210295	-0.002524327079169	0.0197998907242319	0.963780122474348	0.658545501843669
